dia,fecha,cota_Ralco_msnm_0-20%,cota_Pangue_msnm_0-20%,cota_Ralco_msnm_20-40%,cota_Pangue_msnm_20-40%,cota_Ralco_msnm_40-60%,cota_Pangue_msnm_40-60%,cota_Ralco_msnm_60-80%,cota_Pangue_msnm_60-80%,cota_Ralco_msnm_80-100%,cota_Pangue_msnm_80-100%
95,05-Apr,708.27,507.043,712.02,507.008,714.97,507.0,714.82,507.492,714.86,507.531
96,06-Apr,708.08,507.051,711.92,507.004,714.94,507.0,714.82,507.46,714.86,507.525
97,07-Apr,707.9,507.058,711.84,507.0,714.91,507.0,714.8,507.524,714.86,507.518
98,08-Apr,707.71,507.068,711.77,507.0,714.88,507.0,714.8,507.487,714.86,507.498
99,09-Apr,707.49,507.077,711.69,507.0,714.85,507.021,714.8,507.468,714.84,507.601
100,10-Apr,707.26,507.087,711.62,507.0,714.82,507.044,714.77,507.594,714.84,507.59
101,11-Apr,707.05,507.097,711.54,507.0,714.78,507.066,714.77,507.557,714.84,507.579
102,12-Apr,706.84,507.106,711.47,507.0,714.75,507.088,714.74,507.678,714.84,507.567
103,13-Apr,706.63,507.116,711.39,507.0,714.72,507.138,714.74,507.654,714.84,507.556
104,14-Apr,706.43,507.125,711.29,507.0,714.68,507.198,714.74,507.656,714.84,507.558
105,15-Apr,706.2,507.135,711.2,507.0,714.64,507.258,714.74,507.633,714.84,507.57
106,16-Apr,705.98,507.131,711.09,507.0,714.58,507.264,714.74,507.628,714.84,507.592
107,17-Apr,705.76,507.128,710.94,507.0,714.52,507.271,714.74,507.622,714.84,507.614
108,18-Apr,705.54,507.124,710.81,507.0,714.46,507.277,714.74,507.617,714.84,507.636
109,19-Apr,705.32,507.12,710.67,507.0,714.41,507.283,714.73,507.694,714.84,507.672
110,20-Apr,705.07,507.117,710.53,507.0,714.37,507.309,714.72,507.776,714.81,507.879
111,21-Apr,704.85,507.113,710.4,507.015,714.33,507.346,714.7,507.908,714.81,507.93
112,22-Apr,704.63,507.109,710.26,507.032,714.3,507.384,714.7,507.95,714.81,508.001
